region_code,region_name,level,category_code,category_name,source_category_code,published_count,population_denominator,pct_all_residents,reference_date,source_url
0139,Upplands-Bro,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,3026,33333,9.078091,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0139,Upplands-Bro,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,14474,33333,43.422434,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0140,Nykvarn,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,1929,12384,15.576550,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0140,Nykvarn,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,828,12384,6.686047,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0140,Nykvarn,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,1261,12384,10.182494,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0140,Nykvarn,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,8373,12384,67.611434,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0160,Täby,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,15924,78514,20.281733,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0160,Täby,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,4566,78514,5.815523,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0160,Täby,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,8227,78514,10.478386,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0160,Täby,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,49798,78514,63.425631,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
