district_id,district_name,municipality_name,county_name,election_year,population_year,rest_world_unknown_pct,svmp_vote_pct,votes_s,votes_v,votes_mp,valid_votes,rest_world_unknown_residents_estimated,birth_population_estimated,coverage_quality,election_status
01200107,Värmdö 7 Haghulta Kolvik,Värmdö,Stockholm,2026,2025,3.5548145890574463,30.36053130929791,225,35,60,1054,60.974314,1715.260036,high_coverage,provisional
01200108,Värmdö 8 Herrviksnäs m.fl.,Värmdö,Stockholm,2026,2025,3.779690924547179,23.668639053254438,177,28,75,1183,75.174421,1988.903921,high_coverage,provisional
01200109,Värmdö 9 Torsby,Värmdö,Stockholm,2026,2025,6.118816865385868,26.952695269526952,161,38,46,909,99.57208,1627.309367,high_coverage,provisional
01200301,Djurö 1 Vindö,Värmdö,Stockholm,2026,2025,4.567807531655198,31.414868105515588,188,28,46,834,56.264369,1231.758751,high_coverage,provisional
01200302,Djurö 2 Björkås Barnvik,Värmdö,Stockholm,2026,2025,6.093570654850087,31.46766169154229,179,39,35,804,74.040765,1215.063699,high_coverage,provisional
01200303,Djurö 3 Stavsnäs,Värmdö,Stockholm,2026,2025,8.514612731590903,35.714285714285715,203,67,90,1008,144.212395,1693.704688,high_coverage,provisional
01200501,Ingarö 1 Lillängsdal Fagerholm,Värmdö,Stockholm,2026,2025,5.1173804986853195,32.46606334841629,192,36,59,884,73.720621,1440.592917,high_coverage,provisional
01200502,Ingarö 2 Säby Eknäs,Värmdö,Stockholm,2026,2025,4.063612170658739,29.049295774647888,214,32,84,1136,68.942822,1696.589613,high_coverage,provisional
01200503,Ingarö 3 Ingaröstrand,Värmdö,Stockholm,2026,2025,3.2589526835252647,23.899848254931715,225,29,61,1318,68.806613,2111.310586,high_coverage,provisional
01200504,Ingarö 4 Klacknäset,Värmdö,Stockholm,2026,2025,4.1397318196086115,37.867247007616974,207,46,95,919,61.340724,1481.755985,high_coverage,provisional
01200505,Ingarö 5 Lämshaga Brunn,Värmdö,Stockholm,2026,2025,5.833326662697636,31.693989071038253,182,46,62,915,74.789763,1282.111689,high_coverage,provisional
01200601,Gustavsberg 1 Lugnet,Värmdö,Stockholm,2026,2025,6.889557890344676,47.36842105263158,364,91,112,1197,123.527845,1792.972016,high_coverage,provisional
01200602,Gustavsberg 2 Tallåsen,Värmdö,Stockholm,2026,2025,5.881158369683979,44.27020506634499,231,39,97,829,74.640904,1269.153104,high_coverage,provisional
01200603,Gustavsberg 3 Munkmora,Värmdö,Stockholm,2026,2025,15.303388950365061,51.117589893100096,344,124,58,1029,291.933245,1907.637883,high_coverage,provisional
01200604,Gustavsberg 4 Höjdhagen m.fl.,Värmdö,Stockholm,2026,2025,4.368888314371761,51.79324894514768,311,43,137,948,76.931037,1760.883581,high_coverage,provisional
01200605,Gustavsberg 5 Ösbydalen m.fl.,Värmdö,Stockholm,2026,2025,5.7093204777381485,41.45758661887694,241,54,52,837,77.978391,1365.808616,high_coverage,provisional
01200606,Gustavsberg 6 Ormingelandet,Värmdö,Stockholm,2026,2025,3.592022283255162,26.96132596685083,157,18,69,905,49.772972,1385.653208,high_coverage,provisional
01200607,Gustavsberg 7 Farsta och Hamnområdet,Värmdö,Stockholm,2026,2025,5.530211464438251,44.469026548672566,244,38,120,904,135.549979,2451.081299,high_coverage,provisional
01200608,Gustavsberg 8 Mörtnäs,Värmdö,Stockholm,2026,2025,4.296253204616943,28.211805555555557,205,25,95,1152,68.703105,1599.140035,high_coverage,provisional
01200609,Gustavsberg 9 Mölnvik m.fl.,Värmdö,Stockholm,2026,2025,4.801421145192243,39.224137931034484,253,46,65,928,100.717267,2097.655339,high_coverage,provisional
01200610,Gustavsberg 10 Charlottendal m.fl.,Värmdö,Stockholm,2026,2025,6.695021527731538,40.35874439461883,264,42,54,892,80.882112,1208.093382,high_coverage,provisional
01200611,Gustavsberg 11 Porslinskvarteren S,Värmdö,Stockholm,2026,2025,8.244868189836813,37.98816568047337,238,42,41,845,77.22457,936.638018,high_coverage,provisional
01200612,Gustavsberg 12 Porslinskvarteren N,Värmdö,Stockholm,2026,2025,8.416037883858047,41.20425029515938,231,46,72,847,53.647373,637.442152,high_coverage,provisional
01200613,Gustavsberg 13 Hästhagen,Värmdö,Stockholm,2026,2025,6.030081507248509,52.2911051212938,251,75,62,742,71.527933,1186.185177,high_coverage,provisional
01230201,Norra Barkarby,Järfälla,Stockholm,2026,2025,23.584981726771247,56.15796519410977,551,190,98,1494,614.04615,2603.547279,high_coverage,provisional
01230202,Södra Barkarby,Järfälla,Stockholm,2026,2025,15.596751654220055,40.331890331890335,358,104,97,1386,344.997954,2211.985942,high_coverage,provisional
01230203,Skälby Gård Västra,Järfälla,Stockholm,2026,2025,14.763876444070608,40.645161290322584,364,84,56,1240,322.004478,2181.029347,high_coverage,provisional
01230204,Orgona,Järfälla,Stockholm,2026,2025,14.870227603312907,42.333654773384765,308,73,58,1037,284.073825,1910.352905,high_coverage,provisional
01230205,Neptuni,Järfälla,Stockholm,2026,2025,17.44790205574082,44.69914040114613,420,132,72,1396,417.010354,2390.031493,high_coverage,provisional
01230206,Skälby Gård Östra,Järfälla,Stockholm,2026,2025,15.320344311302046,30.503731343283583,218,62,47,1072,274.999136,1794.993183,high_coverage,provisional
01230207,Barkarbystaden,Järfälla,Stockholm,2026,2025,36.390878566879906,61.22650840751731,327,254,38,1011,1097.888034,3016.931927,high_coverage,provisional
01230208,Kalvshälla,Järfälla,Stockholm,2026,2025,29.239666600546983,61.36712749615975,481,253,65,1302,919.674164,3145.296342,high_coverage,provisional
01230209,Karlslund,Järfälla,Stockholm,2026,2025,33.272934728856676,53.3068783068783,253,124,26,756,453.53784,1363.08337,high_coverage,provisional
01230210,Dragonbacken,Järfälla,Stockholm,2026,2025,35.06784300688496,65.36731634182908,248,153,35,667,723.087059,2061.966169,high_coverage,provisional
01230211,Ålsta,Järfälla,Stockholm,2026,2025,36.01067984531616,63.69327073552426,216,165,26,639,279.720716,776.77155,high_coverage,provisional
