district_id,district_name,municipality_name,county_name,election_year,population_year,rest_world_unknown_pct,sv_vote_pct,votes_s,votes_v,valid_votes,rest_world_unknown_residents_estimated,birth_population_estimated,coverage_quality,election_status
01200301,Djurö 1 Vindö,Värmdö,Stockholm,2026,2025,4.567807531655198,25.899280575539567,188,28,834,56.264369,1231.758751,high_coverage,provisional
01200302,Djurö 2 Björkås Barnvik,Värmdö,Stockholm,2026,2025,6.093570654850087,27.114427860696516,179,39,804,74.040765,1215.063699,high_coverage,provisional
01200303,Djurö 3 Stavsnäs,Värmdö,Stockholm,2026,2025,8.514612731590903,26.785714285714285,203,67,1008,144.212395,1693.704688,high_coverage,provisional
01200501,Ingarö 1 Lillängsdal Fagerholm,Värmdö,Stockholm,2026,2025,5.1173804986853195,25.79185520361991,192,36,884,73.720621,1440.592917,high_coverage,provisional
01200502,Ingarö 2 Säby Eknäs,Värmdö,Stockholm,2026,2025,4.063612170658739,21.654929577464788,214,32,1136,68.942822,1696.589613,high_coverage,provisional
01200503,Ingarö 3 Ingaröstrand,Värmdö,Stockholm,2026,2025,3.2589526835252647,19.271623672230653,225,29,1318,68.806613,2111.310586,high_coverage,provisional
01200504,Ingarö 4 Klacknäset,Värmdö,Stockholm,2026,2025,4.1397318196086115,27.529923830250272,207,46,919,61.340724,1481.755985,high_coverage,provisional
01200505,Ingarö 5 Lämshaga Brunn,Värmdö,Stockholm,2026,2025,5.833326662697636,24.918032786885245,182,46,915,74.789763,1282.111689,high_coverage,provisional
01200601,Gustavsberg 1 Lugnet,Värmdö,Stockholm,2026,2025,6.889557890344676,38.01169590643275,364,91,1197,123.527845,1792.972016,high_coverage,provisional
01200602,Gustavsberg 2 Tallåsen,Värmdö,Stockholm,2026,2025,5.881158369683979,32.56936067551266,231,39,829,74.640904,1269.153104,high_coverage,provisional
01200603,Gustavsberg 3 Munkmora,Värmdö,Stockholm,2026,2025,15.303388950365061,45.481049562682216,344,124,1029,291.933245,1907.637883,high_coverage,provisional
01200604,Gustavsberg 4 Höjdhagen m.fl.,Värmdö,Stockholm,2026,2025,4.368888314371761,37.34177215189873,311,43,948,76.931037,1760.883581,high_coverage,provisional
01200605,Gustavsberg 5 Ösbydalen m.fl.,Värmdö,Stockholm,2026,2025,5.7093204777381485,35.24492234169654,241,54,837,77.978391,1365.808616,high_coverage,provisional
01200606,Gustavsberg 6 Ormingelandet,Värmdö,Stockholm,2026,2025,3.592022283255162,19.337016574585636,157,18,905,49.772972,1385.653208,high_coverage,provisional
01200607,Gustavsberg 7 Farsta och Hamnområdet,Värmdö,Stockholm,2026,2025,5.530211464438251,31.194690265486727,244,38,904,135.549979,2451.081299,high_coverage,provisional
01200608,Gustavsberg 8 Mörtnäs,Värmdö,Stockholm,2026,2025,4.296253204616943,19.96527777777778,205,25,1152,68.703105,1599.140035,high_coverage,provisional
01200609,Gustavsberg 9 Mölnvik m.fl.,Värmdö,Stockholm,2026,2025,4.801421145192243,32.2198275862069,253,46,928,100.717267,2097.655339,high_coverage,provisional
01200610,Gustavsberg 10 Charlottendal m.fl.,Värmdö,Stockholm,2026,2025,6.695021527731538,34.30493273542601,264,42,892,80.882112,1208.093382,high_coverage,provisional
01200611,Gustavsberg 11 Porslinskvarteren S,Värmdö,Stockholm,2026,2025,8.244868189836813,33.13609467455621,238,42,845,77.22457,936.638018,high_coverage,provisional
01200612,Gustavsberg 12 Porslinskvarteren N,Värmdö,Stockholm,2026,2025,8.416037883858047,32.70365997638725,231,46,847,53.647373,637.442152,high_coverage,provisional
01200613,Gustavsberg 13 Hästhagen,Värmdö,Stockholm,2026,2025,6.030081507248509,43.935309973045825,251,75,742,71.527933,1186.185177,high_coverage,provisional
01230201,Norra Barkarby,Järfälla,Stockholm,2026,2025,23.584981726771247,49.59839357429719,551,190,1494,614.04615,2603.547279,high_coverage,provisional
01230202,Södra Barkarby,Järfälla,Stockholm,2026,2025,15.596751654220055,33.333333333333336,358,104,1386,344.997954,2211.985942,high_coverage,provisional
01230203,Skälby Gård Västra,Järfälla,Stockholm,2026,2025,14.763876444070608,36.12903225806452,364,84,1240,322.004478,2181.029347,high_coverage,provisional
01230204,Orgona,Järfälla,Stockholm,2026,2025,14.870227603312907,36.74059787849566,308,73,1037,284.073825,1910.352905,high_coverage,provisional
01230205,Neptuni,Järfälla,Stockholm,2026,2025,17.44790205574082,39.541547277936964,420,132,1396,417.010354,2390.031493,high_coverage,provisional
01230206,Skälby Gård Östra,Järfälla,Stockholm,2026,2025,15.320344311302046,26.119402985074625,218,62,1072,274.999136,1794.993183,high_coverage,provisional
